tweet_id,text
1018198420715114497,"I’m #verified. Thanks #google. Still a #nerd! #actor #stlouis #tamitra #authentic #owningmyidentity https://t.co/o4OoNCsfxg"
1018198467943026690,"RT @Mgellis15:    ...    #DnD #dnd5e #games #gaming #gamergirl #nerd #geek #geekgirl #writing #fantasy #scifi #horror #rpg #…"
1018198634985209856,"#nerd humor no #DataScientists do not have the sexiest job in the 21st century according to @kdnuggets! https://t.co/ai1bl79Vsf"
1018198889826955264,"RT @Mgellis15:    ...    #DnD #dnd5e #games #gaming #gamergirl #nerd #geek #geekgirl #writing #fantasy #scifi #horror #rpg #…"
1018200356650708992,"Look mom I’m Ironman!...#lol #jokes #haha #ironman #superhero #hero #marvelstudios #avengers #tonystark #nerd… https://t.co/DwSa9jkdz8"
1018200369921323008,"RT @nroslm: "I dropped my Lovecraft on the floor..."MC Lars - Mr. Raven (2012) ft The Dead Milkmen https://t.co/eWgtL5tfrP via @mclars#p…"
1018200580706263040,"I CANNOT BE STOPPED!...no...but seriously I can't stop and my group (and wallet) are going to start hating me...… https://t.co/1IpUr91Xxh"
1018200758498385920,"Setting up for digital workshop on belly dance costume history. Without a doubt this is my favorite subject!… https://t.co/f3CbZQpXjd"
1018201060450750464,"QUEREMOS SABER: O QUE TÁ FALTANDO NO NERDS SEM GRANA? (Além de dinheiro é claro! )Cosplays Games filmes e séri… https://t.co/8OnEHiOUqJ"
1018201523866791936,"#valkerie fan art #thorragnarok #thor #asgard #asgardian #tessathompson #marvelcomics #marvel #snalezmarvel #nerd… https://t.co/NxWlp43u92"
1018201930005348353,"Stream going live! Weekend Gym motivation? Come in for a chat or any questions? Buff gamer society  With a side of… https://t.co/9LQ9S9FLj3"
1018204552800059392,"Where are all my nerdy #slaves  I’d love to watch you dress up in my favorite characters!!  #subs #cashslave… https://t.co/IZu5cge2iS"
1018204747256430594,"RT @MamaAnne93: Where are all my nerdy #slaves  I’d love to watch you dress up in my favorite characters!!  #subs #cashslave #roleplay…"
1018204789455196160,"RT @DungeonousDorks:  Hope you don’t have bad luck today. Maybe it’s best to just stay inside to be safe. Yeah stay inside get comfy an…"
1018204973530861568,"RT @MamaAnne93: Where are all my nerdy #slaves  I’d love to watch you dress up in my favorite characters!!  #subs #cashslave #roleplay…"
1018205134348664832,"RT @ComicStyleGeek: Marvel Announces Black Panther vs. Deadpool Series Coming In October. #blackpanther #deadpool #blackpanthervsdeadpool #…"
1018206216135348224,"Some early adopters of #lotr #patches seen in the wild. Thanks @billfett and Nathan!https://t.co/2RMF54HNAQ… https://t.co/XOdMaNQVx5"
1018206747448758272,"RT @orbitdesignlab: Some early adopters of #lotr #patches seen in the wild. Thanks @billfett and Nathan!https://t.co/2RMF54HNAQ#tolki…"
1018206754826539008,"New iPhone home wallpaper. #nerd https://t.co/rjm0hBxMnX"
1018206810770165760,"40% Off Pillows Posters Post-it® Notes Stickers &amp; More  15% Off SitewideCode: ZAZZSHOP2DAY… https://t.co/5pf44m6Yvy"
1018206818957516801,"Jamming to music and cooking!  #film #actorslife #actresslife #actress #actor #goofy #nerd #follow #followme… https://t.co/9uWQY5wupL"
1018207017981349893,"RT @vbence86: Check out the home world of the Sylon race. It's in the Hathor-2 system that's kept a deadly mystery up until a human expedit…"
1018207089888514048,"RT @vbence86: Check out the home world of the Sylon race. It's in the Hathor-2 system that's kept a deadly mystery up until a human expedit…"
1018207090979037184,"RT @ouvikings: No ar o OVK052!Neste #podcast falamos sobre o que aconteceria caso a internet acabasse.Ouve lá:https://t.co/TyEVmArCf8…"
1018207244243161088,"Now I’ve got to go pick thorns out of my body. Hahaha.  #blackberrypicking #yummy #ouch #blackberries… https://t.co/Lr12RZgWDO"
1018209341156085760,"@NickMcglashan What is one favorite thing you like to learn about? #Nerd "
1018209831482724353,"Orion #Constallation Shirt https://t.co/HIpu3VTlBy #nerd #geek #gamer #nerdy #comics #Science"
1018210257393332225,"Chicken dinner coming up! #pubg #gamer #gaming #xbox #pcgaming #geek #nerd https://t.co/lejvicMG1J"
1018210335935946752,"RT @smalldickface: My co-workers love my just-some-„little“-adjustments suggestions--#meme #memes #memesdaily #dankmemes #funnymemes…"
1018211162826199046,"@nzxt @corsair nzxt_build #nzxt #corsair #pc #pcgaming #therig #streamer #stream #twitch #gamer #gaming… https://t.co/CFrliau9jc"
1018211574924959744,"#Lovebox18 has well and truly mashed me! #NERD did the ting!"
1018211684136169472,"RT @RETROTOYING: I think my gaming history proves that I prefer to escape the real world! I’ve been gaming since ‘86 &amp; there is no sign of…"
1018211706101616641,"Ok who's at #SDCC and can get me that #TMNT figure set and diorama from #NECA?  #ComicCon #SanDiegoComicCon #nerd… https://t.co/NDGN05HmQx"
1018212096784371712,"Sound proofing the office begins soon! #blerd#nerd#creator#nerdoffice #workspace https://t.co/VNIUyQ5xcW"
1018212161749962752,"https://t.co/853fufvNUfAsk away.#FinDom #FemDom #BDSM #poly #nerd #tattoo"
1018212204288593922,"A cleansing moment of clarity. When stoned#readwhenstoned #cannabiscommunity #indica #hybrid #sativa #marijuana… https://t.co/pJIN8ptgvk"
1018212210953326593,"RT @AfroNerdTV: Sound proofing the office begins soon! #blerd#nerd#creator#nerdoffice #workspace https://t.co/VNIUyQ5xcW"
1018208588819582976,"End of the world upon you ... no better time to check out https://t.co/fBX7sT2vN6 #nerd #geek"
1018208699809239040,"And on Saturdays we go for precision. #pourovercoffee #nerd #measurements https://t.co/pbaGpz05ya"
1018212403421511686,"RT @MercifulMisery: https://t.co/853fufvNUfAsk away.#FinDom #FemDom #BDSM #poly #nerd #tattoo"
1018212640584323072,"RT @JULComedy: Guys! We're looking for PR opportunities for our new #EdFringe18 show MARVELus 2018 if you have a website podcast vlogcas…"
1018213063395364864,"RT @Readwhenstoned: A cleansing moment of clarity. When stoned#readwhenstoned #cannabiscommunity #indica #hybrid #sativa #marijuana #can…"
1018213775697219586,"X-Men 16 #Fanart via Jorge Molina Manzanero #magneto #geek #xmen #xmenapocalypse #superhero #comics #art #movie… https://t.co/9c6vZf3mq4"
1018214223640432640,"RT @patrickcohenn: X-Men 16 #Fanart via Jorge Molina Manzanero #magneto #geek #xmen #xmenapocalypse #superhero #comics #art #movie #cinema…"
1018214782984507392,"RT @RealGameMedia: Chicken dinner coming up! #pubg #gamer #gaming #xbox #pcgaming #geek #nerd https://t.co/lejvicMG1J"
1018215303216619520,"Venom Officially NOT Part of the Marvel Cinematic Universe. #sony #venom #spiderman #mcu #comics #dccomics #marvel… https://t.co/FKTtJDSP55"
1018215827055792128,"Live with warframe baby. Link in bio. #warframe #twitchkittens #twitch #twitchtv #twitchuk #twitchstream… https://t.co/kh5eubokNF"
1018216028235497472,"#LoveboxDay2 #Nerd #BigBoi #ChildishGambino #TiredAsHell https://t.co/dHCnTYU0ND"
1018216409891917825,"Check out #Nerd Bar #Tonight #DTLV 8pm-4am-#Foundation @SaraKashani @PariaBadd @MickeyTaelor @kayynovamusic… https://t.co/FxaibV3yjL"
1018216457463844865,"Didn’t know what to watch on tv then the beaver pulls out a  show for me: a documentary about exclamation marks #yes #nerd"
1018217164921360386,"Finally time to bite into this! #vampyr #gamer #gamerLife #sony #playstation #PS4 #gaymer #nerd #videogames https://t.co/nQ5oc8zokR"
1018217589770682369,"So I was checking out the @MLB All Star celebrity game roster and was thinking it was pretty lame. But then I saw… https://t.co/1Qt7gnQYyF"
1018217865974075393,"Blerds Nerds &amp; Sci-Fluid Fans: I’ll be back at @DragonCon (for the fourth year in a row!) Thank you @skeptrack!  I… https://t.co/OLeqsG06aW"
1018218010752974850,"Another awesome job from @tweeterheadsf! Love Streaky The Stupercat! #DCComics #Supergirl #Streaky #Supercat… https://t.co/qyWRXKrDYS"
1018218282116177921,"Some sweet Tees ready to ship.  It’s a looooong road but every order is super exciting.  Get on board. #tshirtsales… https://t.co/bYzbVdG0Oa"
1018219283158065152,"This should make for some good answers!Come on guys make me laugh!...#lol #jokes #hilarious #lmao #haha #nerd… https://t.co/9ugHOLo19y"
