tweet_id,tweet_created_at,language,user_screen_name,user_created_at,user_id,followers_count,friends_count,time_zone,utc_offset,retweeted_status,retweet_id,retweet_user_screen_name,retweet_user_id
1022878721919860736,Fri Jul 27 16:17:46 +0000 2018,pt,chelyda1,Thu Oct 06 16:58:40 +0000 2011,386085803,104,672,None,None,0,None,None,None
1022878794594639872,Fri Jul 27 16:18:03 +0000 2018,und,dccomicalliance,Mon Jan 02 03:17:05 +0000 2017,815758786912747520,1141,4873,None,None,1,1022874905992409090,delightfulcomic,762716612269137920
1022878806846177282,Fri Jul 27 16:18:06 +0000 2018,en,ValeBattaglia,Fri Mar 25 20:27:19 +0000 2011,272091837,176,920,None,None,0,None,None,None
1022879037339955201,Fri Jul 27 16:19:01 +0000 2018,en,HarryPotterEX1,Wed Mar 14 15:00:20 +0000 2018,973936872547262464,578,25,None,None,1,1022878074940088320,LizRoseMorriss,4079900177
1022879614476136448,Fri Jul 27 16:21:18 +0000 2018,en,sci_clops,Wed Mar 09 23:13:41 +0000 2016,707705947490095106,3234,4903,None,None,1,1022589649330610176,sci_clops,707705947490095106
1022879840381239296,Fri Jul 27 16:22:12 +0000 2018,ja,mocori_ngo,Fri May 28 02:01:17 +0000 2010,148961152,559,530,None,None,1,1022852817902391296,fujitv_nexco,109197855
1022879844047020032,Fri Jul 27 16:22:13 +0000 2018,ja,yullico_yeah,Tue Sep 22 13:53:44 +0000 2015,3649288813,173,212,None,None,1,1022852817902391296,fujitv_nexco,109197855
1022879886359363586,Fri Jul 27 16:22:23 +0000 2018,en,MaWritesReviews,Wed Feb 03 20:47:09 +0000 2016,4855744754,4823,4510,None,None,1,1022324481870704640,sabkfox,3813321856
1022880087333433344,Fri Jul 27 16:23:11 +0000 2018,en,theloulougirls,Tue May 21 21:43:19 +0000 2013,1447311072,10964,6192,None,None,1,1022324481870704640,sabkfox,3813321856
1022880109580169216,Fri Jul 27 16:23:16 +0000 2018,en,YoQuieroTrina,Tue Apr 07 22:03:48 +0000 2009,29558482,267,87,None,None,0,None,None,None
1022880201678770176,Fri Jul 27 16:23:38 +0000 2018,es,Moonylovett2014,Thu Oct 31 12:15:01 +0000 2013,2161763225,30,204,None,None,0,None,None,None
1022880384600563712,Fri Jul 27 16:24:22 +0000 2018,en,xo_queensupreme,Sat Mar 13 13:57:41 +0000 2010,122672837,455,371,None,None,0,None,None,None
1022880531858550784,Fri Jul 27 16:24:57 +0000 2018,en,WhovianLeap,Sat Oct 15 18:29:56 +0000 2011,391542531,12463,998,None,None,1,1022870158052872193,Skorka_Designs,1920614258
1022880535973191681,Fri Jul 27 16:24:58 +0000 2018,en,ShojoPower,Sun Jul 07 23:11:24 +0000 2013,1576245656,2428,1474,None,None,1,1022872048564150272,SnarkFishTees,3916838731
1022880554503548938,Fri Jul 27 16:25:03 +0000 2018,en,MCGMorph,Tue Feb 05 19:36:39 +0000 2013,1151810395,462,860,None,None,0,None,None,None
1022880826076418048,Fri Jul 27 16:26:07 +0000 2018,en,StayArlington,Tue Mar 15 15:09:43 +0000 2011,266636188,3056,1612,None,None,1,1022871753754861569,crystalcityva,26321577
1022881041038622725,Fri Jul 27 16:26:59 +0000 2018,en,Cher_Wolf,Sun Oct 21 00:13:04 +0000 2012,894294193,2384,2177,None,None,0,None,None,None
1022881340184817665,Fri Jul 27 16:28:10 +0000 2018,en,ryankirkpatric4,Sat Jul 28 20:36:36 +0000 2012,722787126,1035,2702,None,None,1,1022870158052872193,Skorka_Designs,1920614258
1022881472108212229,Fri Jul 27 16:28:41 +0000 2018,en,borgo7,Mon Dec 13 16:20:56 +0000 2010,226212894,5789,77,None,None,0,None,None,None
1022881476822659072,Fri Jul 27 16:28:42 +0000 2018,en,borgo7,Mon Dec 13 16:20:56 +0000 2010,226212894,5789,77,None,None,0,None,None,None
1022881480505257984,Fri Jul 27 16:28:43 +0000 2018,en,borgo7,Mon Dec 13 16:20:56 +0000 2010,226212894,5789,77,None,None,0,None,None,None
1022881484129087488,Fri Jul 27 16:28:44 +0000 2018,en,borgo7,Mon Dec 13 16:20:56 +0000 2010,226212894,5789,77,None,None,0,None,None,None
1022881487639732225,Fri Jul 27 16:28:45 +0000 2018,en,borgo7,Mon Dec 13 16:20:56 +0000 2010,226212894,5789,77,None,None,0,None,None,None
1022881489665622016,Fri Jul 27 16:28:46 +0000 2018,en,borgo7,Mon Dec 13 16:20:56 +0000 2010,226212894,5789,77,None,None,0,None,None,None
1022881491687276544,Fri Jul 27 16:28:46 +0000 2018,en,borgo7,Mon Dec 13 16:20:56 +0000 2010,226212894,5789,77,None,None,0,None,None,None
1022881495139196929,Fri Jul 27 16:28:47 +0000 2018,en,borgo7,Mon Dec 13 16:20:56 +0000 2010,226212894,5789,77,None,None,0,None,None,None
1022881498360438785,Fri Jul 27 16:28:48 +0000 2018,en,borgo7,Mon Dec 13 16:20:56 +0000 2010,226212894,5789,77,None,None,0,None,None,None
1022881500461760513,Fri Jul 27 16:28:48 +0000 2018,en,borgo7,Mon Dec 13 16:20:56 +0000 2010,226212894,5789,77,None,None,0,None,None,None
1022881783510052865,Fri Jul 27 16:29:56 +0000 2018,en,Chino_Gaming,Wed Jun 10 10:27:19 +0000 2009,46081934,62,203,None,None,0,None,None,None
1022881868482576386,Fri Jul 27 16:30:16 +0000 2018,pt,nerdtatuado,Mon Sep 13 20:57:44 +0000 2010,190392246,1348,1968,None,None,0,None,None,None
1022882579761057792,Fri Jul 27 16:33:05 +0000 2018,und,Rehman_coding,Sat May 12 04:59:11 +0000 2018,995166473537687552,25,179,None,None,0,None,None,None
1022882582009020416,Fri Jul 27 16:33:06 +0000 2018,ja,ririri7,Fri Oct 16 10:12:12 +0000 2009,82844987,411,335,None,None,1,1022852817902391296,fujitv_nexco,109197855
1022883138622705664,Fri Jul 27 16:35:19 +0000 2018,en,cherry_LA,Fri Aug 01 04:45:15 +0000 2008,15685664,2991,1712,None,None,0,None,None,None
1022883262790696960,Fri Jul 27 16:35:48 +0000 2018,ja,ayatoreinomama,Tue Mar 20 04:14:40 +0000 2012,530986524,279,341,None,None,1,1022852817902391296,fujitv_nexco,109197855
1022883320000966656,Fri Jul 27 16:36:02 +0000 2018,en,MarcusPlato,Mon Jun 23 00:00:03 +0000 2014,2582990082,224,124,None,None,0,None,None,None
